2022-06-28 12:10:38,496 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:10:38,496 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:11:35,079 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:0
2022-06-28 12:11:35,079 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Mũ']
2022-06-28 12:12:39,320 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:12:39,321 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:14:39,937 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:14:39,937 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:16:35,085 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:0
2022-06-28 12:16:35,085 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Mũ']
2022-06-28 12:16:40,486 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:16:40,486 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:18:41,182 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:18:41,182 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:20:41,806 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:20:41,806 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:21:35,081 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:0
2022-06-28 12:21:35,081 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Mũ']
2022-06-28 12:22:42,906 | shopee_crawler.toolkit.crawl_by_search | [INFO] | There are 3380 products in "Mũ"
2022-06-28 12:22:46,808 | shopee_crawler.toolkit.crawl_by_search | [INFO] | Successfully crawl 0 products from "Mũ"
2022-06-28 12:22:46,826 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Mũ. NUMBER OF LINK HAVE BEEN CRAWLED: 0
2022-06-28 12:22:46,826 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 0
2022-06-28 12:22:46,833 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Mũ. NUMBER OF LINK HAVE BEEN CRAWLED: 0
2022-06-28 12:22:46,837 | CrawlShopeeService | [INFO] | ITEM OF Mũ HAVE CRAWLED COMPLETELY
2022-06-28 12:22:46,846 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Mũ. NUMBER OF LINK HAVE BEEN CRAWLED: 0
2022-06-28 13:38:14,329 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 13:38:14,330 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 13:38:14,469 | uvicorn.error | [INFO] | Started server process [3384]
2022-06-28 13:38:14,469 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 13:38:14,469 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 13:38:14,470 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 13:38:20,452 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 13:38:20,453 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: []
2022-06-28 13:38:31,074 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 13:38:31,075 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 13:39:54,484 | uvicorn.error | [INFO] | Shutting down
2022-06-28 13:40:03,720 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 13:40:03,720 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 13:40:03,865 | uvicorn.error | [INFO] | Started server process [16796]
2022-06-28 13:40:03,865 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 13:40:03,865 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 13:40:03,866 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 13:40:09,849 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 13:40:09,849 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: []
2022-06-28 13:40:22,092 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 13:40:22,093 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 13:42:24,135 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 13:42:24,135 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 13:42:43,757 | uvicorn.error | [INFO] | Shutting down
2022-06-28 13:42:43,851 | uvicorn.error | [INFO] | Waiting for application shutdown.
2022-06-28 13:42:43,851 | uvicorn.error | [INFO] | Application shutdown complete.
2022-06-28 13:42:43,851 | uvicorn.error | [INFO] | Finished server process [16796]
2022-06-28 13:44:29,959 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 13:44:29,960 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 13:44:30,097 | uvicorn.error | [INFO] | Started server process [25156]
2022-06-28 13:44:30,097 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 13:44:30,098 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 13:44:30,098 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 13:44:36,117 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 13:44:36,117 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: []
2022-06-28 13:44:49,184 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 13:44:49,185 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 13:46:49,953 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 13:46:49,953 | Keyword | [INFO] | WAIT 5 MINUTE
